id_pais,descripcion,,,,nombre,nombre_completo
1,Misiones,,,,Misiones,Provincia de Misiones
1,San Luis,,,,San Luis,Provincia de San Luis
1,San Juan,,,,San Juan,Provincia de San Juan
1,Entre Ríos,,,,Entre Ríos,Provincia de Entre Ríos
1,Santa Cruz,,,,Santa Cruz,Provincia de Santa Cruz
1,Río Negro,,,,Río Negro,Provincia de Río Negro
1,Chubut,,,,Chubut,Provincia del Chubut
1,Córdoba,,,,Córdoba,Provincia de Córdoba
1,Mendoza,,,,Mendoza,Provincia de Mendoza
1,La Rioja,,,,La Rioja,Provincia de La Rioja
1,Catamarca,,,,Catamarca,Provincia de Catamarca
1,La Pampa,,,,La Pampa,Provincia de La Pampa
1,Santiago del Estero,,,,Santiago del Estero,Provincia de Santiago del Estero
1,Corrientes,,,,Corrientes,Provincia de Corrientes
1,Santa Fe,,,,Santa Fe,Provincia de Santa Fe
1,Tucumán,,,,Tucumán,Provincia de Tucumán
1,Neuquén,,,,Neuquén,Provincia del Neuquén
1,Salta,,,,Salta,Provincia de Salta
1,Chaco,,,,Chaco,Provincia del Chaco
1,Formosa,,,,Formosa,Provincia de Formosa
1,Jujuy,,,,Jujuy,Provincia de Jujuy
1,Ciudad Autónoma de Buenos Aires,,,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires
1,Buenos Aires,,,,Buenos Aires,Provincia de Buenos Aires
1,Tierra del Fuego,,,,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur"
